### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction	probability
Paracentrotus	ATG	M	I	0.0	6.30586933432e-08	0.5	0.235294117647	0.470588235294	1.0	0.235294117647	979.0	2.30632911392	6.0	0.0	0.161
Schistosoma	ATG	M	I	0.0	1.99742251591e-10	0.4	0.2	0.24	1.0	0.2	842.0	1.19015280136	6.0	0.0	0.341
Fasciola	ATG	M	I	0.0	1.34872608737e-12	0.666666666667	0.214285714286	0.214285714286	1.0	0.214285714286	878.0	1.27245053272	6.0	0.0	0.383
Patiria	ATG	M	I	0.0	5.53298403284e-10	0.5	0.294117647059	0.470588235294	1.0	0.294117647059	979.0	2.32151898734	6.0	0.0	0.161
Lumbricus	ATG	M	I	0.0	0.0100992190872	0.333333333333	0.25	0.5	1.0	0.25	977.0	1.24719101124	6.0	0.0	0.162
Halocynthia	ATG	M	I	0.0	0.000404318325206	0.5	0.153846153846	0.538461538462	1.0	0.153846153846	963.0	2.09666666667	6.0	0.0	0.165
Caenorhabditis	ATG	M	I	0.0	0.0100992190872	0.333333333333	0.111111111111	0.222222222222	1.0	0.111111111111	959.0	0.794392523364	6.0	0.0	0.176
Axinella	ATG	M	I	0.0	6.30586933432e-08	0.6	0.235294117647	0.470588235294	1.0	0.235294117647	977.0	1.72544080605	6.0	0.0	0.163
Terebratulina	ATG	M	I	0.0	0.0134429089835	0.333333333333	0.166666666667	0.5	1.0	0.166666666667	977.0	2.00709219858	6.0	0.0	0.142
Bfloridae	ATG	M	I	0.0	2.22044604925e-16	1.0	0.5	0.0	1.0	0.5	321.0	0.714285714286	6.0	0.0	0.285
Geodia	ATG	M	I	0.0	6.23130806061e-06	0.6	0.214285714286	0.571428571429	1.0	0.214285714286	979.0	1.82874617737	6.0	0.0	0.132
Metridium	ATG	M	I	0.0	5.53298403284e-10	0.666666666667	0.294117647059	0.470588235294	1.0	0.294117647059	979.0	2.09725685786	6.0	0.0	0.161
Acropora	ATG	M	I	0.0	6.30586933432e-08	0.5	0.25	0.5	1.0	0.25	978.0	2.2654155496	6.0	0.0	0.159
Balanoglossus	ATG	M	I	0.0	4.35802456332e-12	0.666666666667	0.4	0.533333333333	1.0	0.4	978.0	2.4224137931	6.0	0.0	0.154
Saccoglossus	ATG	M	I	0.0	5.53298403284e-10	0.666666666667	0.357142857143	0.571428571429	1.0	0.357142857143	978.0	2.39755351682	6.0	0.0	0.152
Daphnia	ATG	M	I	0.0	0.0234063651877	0.25	0.125	0.75	1.0	0.125	979.0	2.18181818182	6.0	0.0	0.132
Homo	ATG	M	I	0.0	0.0100992190872	0.333333333333	0.25	0.5	1.0	0.25	978.0	2.29032258065	6.0	0.0	0.162
Blanceolatum	ATG	M	I	0.0	2.22044604925e-16	1.0	0.333333333333	0.0	1.0	0.333333333333	321.0	1.98666666667	6.0	0.0	0.402
